Imp_Value,Importer,Product,Exporter,Trade_Year,Duty_Type,Simple_Avg_Tariff,GDP_Importer,GDP_Exporter,Distance,NTB_Importer,NTB_Exporter,CPTPP_TC,CPTPP_TD1,CPTPP_TD2,IMP_1,IMP_2,IMP_3,IMP_4,IMP_5,IMP_6,IMP_7,IMP_8,IMP_9,IMP_10,IMP_11,IMP_12,EXP_1,EXP_2,EXP_3,EXP_4,EXP_5,EXP_6,EXP_7,EXP_8,EXP_9,EXP_10,EXP_11,EXP_12,LL,Log_Imports,Log_GDP_Imp,Log_GDP_Exp,Log_Dist,Log_NTB_Imp,Log_NTB_Exp,Log_Tariff,COB
3122.851,Singapore,"ELE - Computer, electronic and optical products",Brunei,2018,MFN,0,376998146.5,13567351.18,1279,2.6,2.4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.494551263,8.576339215,7.132495067,3.106870544,0.414973348,0.3802112417,#NUM!,0
187751.437,Singapore,"ELE - Computer, electronic and optical products",Canada,2018,MFN,0,376998146.5,1725329193,13060,2.6,4.2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5.27358327,8.576339215,9.236871971,4.115943177,0.414973348,0.6232492904,#NUM!,0
426.692,Singapore,"ELE - Computer, electronic and optical products",Chile,2018,MFN,0,376998146.5,295402652,16174,2.6,1.3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2.6301145,8.576339215,8.47041439,4.208817439,0.414973348,0.1139433523,#NUM!,0
191068.404,Singapore,"ELE - Computer, electronic and optical products",India,2018,MFN,0,376998146.5,2702929719,3440,2.6,4.9,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5.281188876,8.576339215,9.431834753,3.536558443,0.414973348,0.69019608,#NUM!,0
4953754.172,Singapore,"ELE - Computer, electronic and optical products",Japan,2018,MFN,0,376998146.5,5037835383,5241,2.6,3.3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6.694934451,8.576339215,9.702243972,3.71941416,0.414973348,0.5185139399,#NUM!,0
14372445.18,Singapore,"ELE - Computer, electronic and optical products",Malaysia,2018,MFN,0,376998146.5,358791513.2,377,2.6,2.4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7.157530661,8.576339215,8.554842162,2.57634135,0.414973348,0.3802112417,#NUM!,0
611831.857,Singapore,"ELE - Computer, electronic and optical products",Mexico,2018,MFN,0,376998146.5,1222408203,16024,2.6,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5.786632086,8.576339215,9.087216256,4.204770936,0.414973348,0,#NUM!,0
7441.677,Singapore,"ELE - Computer, electronic and optical products",New Zealand,2018,MFN,0,376998146.5,211953111,8529,2.6,2.5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.871670816,8.576339215,8.326239795,3.930898114,0.414973348,0.3979400087,#NUM!,0
360.002,Singapore,"ELE - Computer, electronic and optical products",Peru,2018,MFN,0,376998146.5,222597212.9,19122,2.6,1.4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2.556304914,8.576339215,8.347519722,4.281533314,0.414973348,0.1461280357,#NUM!,0
1065159.804,Singapore,"ELE - Computer, electronic and optical products",Vietnam,2018,MFN,0,376998146.5,308702086.8,1488,2.6,5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6.027414769,8.576339215,8.489539565,3.172602931,0.414973348,0.6989700043,#NUM!,0
17144.279,Singapore,MVH - Motor vehicles and parts,Australia,2018,MFN,0,376998146.5,1428529571,4374,2.6,3.5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.234119226,8.576339215,9.154889235,3.640878779,0.414973348,0.5440680444,#NUM!,0
254.515,Singapore,MVH - Motor vehicles and parts,Brunei,2018,MFN,0,376998146.5,13567351.18,1279,2.6,2.4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.405713383,8.576339215,7.132495067,3.106870544,0.414973348,0.3802112417,#NUM!,0
