Imp_Value,Importer,Product,Exporter,Trade_Year,Duty_Type,Simple_Avg_Tariff,GDP_Importer,GDP_Exporter,Distance,NTB_Importer,NTB_Exporter,CPTPP_TC,CPTPP_TD1,CPTPP_TD2,IMP_1,IMP_2,IMP_3,IMP_4,IMP_5,IMP_6,IMP_7,IMP_8,IMP_9,IMP_10,IMP_11,IMP_12,EXP_1,EXP_2,EXP_3,EXP_4,EXP_5,EXP_6,EXP_7,EXP_8,EXP_9,EXP_10,EXP_11,EXP_12,LL,COB
360.002,Singapore,"ELE - Computer, electronic and optical products",Peru,2018,MFN,0,376998146.5,222597212.9,19122,2.6,1.4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1065159.804,Singapore,"ELE - Computer, electronic and optical products",Vietnam,2018,MFN,0,376998146.5,308702086.8,1488,2.6,5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
17144.279,Singapore,MVH - Motor vehicles and parts,Australia,2018,MFN,0,376998146.5,1428529571,4374,2.6,3.5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
254.515,Singapore,MVH - Motor vehicles and parts,Brunei,2018,MFN,0,376998146.5,13567351.18,1279,2.6,2.4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5354.447,Singapore,MVH - Motor vehicles and parts,Canada,2018,MFN,0,376998146.5,1725329193,13060,2.6,4.2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.213,Singapore,MVH - Motor vehicles and parts,Chile,2018,MFN,0,376998146.5,295402652,16174,2.6,1.3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
42474.695,Singapore,MVH - Motor vehicles and parts,India,2018,MFN,0,376998146.5,2702929719,3440,2.6,4.9,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1437497.823,Singapore,MVH - Motor vehicles and parts,Japan,2018,MFN,0,376998146.5,5037835383,5241,2.6,3.3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
146824.068,Singapore,MVH - Motor vehicles and parts,Malaysia,2018,MFN,0,376998146.5,358791513.2,377,2.6,2.4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
24350.425,Singapore,MVH - Motor vehicles and parts,Mexico,2018,MFN,0,376998146.5,1222408203,16024,2.6,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
499.197,Singapore,MVH - Motor vehicles and parts,New Zealand,2018,MFN,0,376998146.5,211953111,8529,2.6,2.5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
567.649,Singapore,MVH - Motor vehicles and parts,Peru,2018,MFN,0,376998146.5,222597212.9,19122,2.6,1.4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
9037.558,Singapore,MVH - Motor vehicles and parts,Vietnam,2018,MFN,0,376998146.5,308702086.8,1488,2.6,5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
661.172,Australia,OAP - Animal products nec,Australia,2018,MFN,0.31,1428529571,1428529571,0,3.5,3.5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
762.875,Australia,OAP - Animal products nec,Canada,2018,MFN,2.5,1428529571,1725329193,14143,3.5,4.2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
366.179,Australia,OAP - Animal products nec,Chile,2018,MFN,2.5,1428529571,295402652,12726,3.5,1.3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
379.291,Australia,OAP - Animal products nec,India,2018,MFN,0,1428529571,2702929719,7809,3.5,4.9,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2075.77,Australia,OAP - Animal products nec,Malaysia,2018,MFN,0,1428529571,358791513.2,4743,3.5,2.4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
56374.666,Australia,OAP - Animal products nec,New Zealand,2018,MFN,0.25,1428529571,211953111,4157,3.5,2.5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
212.745,Australia,OAP - Animal products nec,Singapore,2018,MFN,0,1428529571,376998146.5,4374,3.5,2.6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
